order_id,status,received_date,paid_date,shipped_date,tax,shipping,total,coupon_discount,coupon_code,item_count,items,email,name,address1,address2,city,state,zipcode,country,phone,shipping_method,shipping_method_option,special_instructions,gateway,gateway_method,payment_currency,transaction_id
yidhw3j,order_paid,31/08/2025 23:43,31/08/2025 23:43,,0,24,252.96,,,5,"[MMIWorld24Current] Subscribe To MMI and get a FREE gift worth £45!: MMI 24 issues Worldwide start issue 233: 1 * 168.00 GBP
[5902] K5(E) RAILGUN DETAIL IN ACTION: 1 * 16.99 GBP
[39002] 39002 M3 GM CARRIAGE Detail In Action (Paperback): 1 * 16.99 GBP
[12060] 12060 M-60 Main Battle Tank In Action (Softcover): 1 * 14.99 GBP
[12051] M151 MUTT IN ACTION (Soft cover): 1 * 11.99 GBP",robert62@brown.com,Joseph Murray,7410 Tanya Alley,Apt. 826,Villegasmouth,New Mexico,34226,KW,(460)288-5640x082,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,XU87XQQD8Z1A2BU
qntw6md,order_paid,31/08/2025 22:59,31/08/2025 22:59,,,,115,,,1,[AM12World] Renew Your Subscription To AeroModeller: Renew for 12 issues Worldwide: 1 * 115.00 GBP,alyssagriffith@gmail.com,Anna Osborne,769 Katrina Extensions Suite 114,Suite 687,North Jeffreymouth,Colorado,35429,CY,291-831-7027x076,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,23IWFTSNC90T5YZ
hoh1dnn,order_paid,31/08/2025 20:23,31/08/2025 20:23,,0,,6.99,,,1,[AEROM-ISSUE141] Issue 141 (1059): 1 * 6.99 GBP,elizabeth97@hotmail.com,Andrea Snow,32961 Anderson Knoll,Apt. 692,Colemanbury,Montana,11030,GR,(305)342-8837x851,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,E2XTMFTG0VX9LMZ
086aj6k,order_paid,31/08/2025 20:08,31/08/2025 20:08,,0,2,13.99,,,1,[SS1195] US Liaison Aircraft WW II: 1 * 11.99 GBP,kgardner@reid.com,Michele Garcia,95315 Martin Plaza,Apt. 670,New Rhonda,New Jersey,32710,ST,+1-080-135-9950x943,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,M8DGNIMC9NOUGKJ
xo41xiw,order_paid,31/08/2025 16:05,31/08/2025 16:05,,0,,168,,,1,[MMIWorld24Current] Subscribe To MMI and get a FREE gift worth £45!: MMI 24 issues Worldwide start issue 233: 1 * 168.00 GBP,arthurward@hotmail.com,Kelli Duran,5982 Marilyn Shoal,Apt. 107,Port Samanthashire,Mississippi,19829,TD,+1-415-151-7984x6465,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,P3QLVJJ5F67LLR9
y51f6w7,order_paid,31/08/2025 11:58,31/08/2025 11:58,,0,,5.99,,,1,[SLOTMAG-ISSUE-70] Slot &#8211; Issue 70: 1 * 5.99 GBP,jameswhite@yahoo.com,Kathryn Ruiz,46758 Keith Glen Apt. 658,Suite 682,Erintown,Hawaii,28549,TN,241-148-8686,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,F97SVK75P7KSUO2
55jupjb,order_paid,31/08/2025 08:08,31/08/2025 08:08,,0,,29.95,,,5,"[MAI-241] MAI Issue 241 &#8211; Aug 2025: 1 * 5.99 GBP
[TMMI-359] Issue 359 &#8211; September 2025: 1 * 5.99 GBP
[TMMI-358] Issue 358 &#8211; August 2025: 1 * 5.99 GBP
[TMMI-357] Issue 357 &#8211; July 2025: 1 * 5.99 GBP
[MAI-240] MAI Issue 240 &#8211; July 2025: 1 * 5.99 GBP",josephward@hotmail.com,Anthony Leblanc MD,3529 Williams Centers Suite 453,Apt. 962,Lake Patricia,Wisconsin,55282,HN,876.823.6071x141,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,0W0Z822AZ6TSNAF
sy0y7cm,order_paid,31/08/2025 04:21,31/08/2025 04:21,,0,4.8,16.78,,,2,"[TMMI-359] Issue 359 &#8211; September 2025: 1 * 5.99 GBP
[MMI-Issue-233] Issue 233 &#8211; Sept 2025: 1 * 5.99 GBP",lisa27@craig.com,Jennifer Moore,07871 Wayne Heights Suite 424,Suite 893,Port Ryanport,Arizona,76372,CH,2297787070,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,PJZFUY36PNP94BV
ooanvk8,order_paid,30/08/2025 17:40,30/08/2025 17:40,,0,,5.99,,,1,[TMMI-359] Issue 359 &#8211; September 2025: 1 * 5.99 GBP,eortega@gmail.com,Andrea Rosario,9679 Johnson Station,Apt. 486,South Tiffany,Alabama,38934,RS,133.660.9757x05207,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,MT5N00L40GQLLGZ
4xuxikp,order_paid,30/08/2025 09:31,30/08/2025 09:31,,,,10.19,,,2,"[FSMNov19] Flying Scale Models Issue 240 &#8211; Nov 2019: 1 * 5.99 GBP
[FSM-ISSUE189] Flying Scale Models Issue 189 &#8211; Aug 2015: 1 * 4.20 GBP",chrissoto@chavez.net,Andrew Garza,25572 Jones Walks,Suite 473,North Keithfurt,New York,67901,BY,001-242-228-9811x94484,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,1P4DKK3UM4P61OU
